x, y, z, alpha, beta, gamma, zero
0.527199, -1.05318e-16, 0.607701, -5.28585e-17, 0.232177, 3.14159, 0
0.527154, -1.05314e-16, 0.607673, -5.29461e-17, 0.232563, 3.14159, 0
0.527109, -1.05308e-16, 0.607646, -5.30328e-17, 0.232944, 3.14159, 0
0.527065, -1.05303e-16, 0.607618, -5.31187e-17, 0.233322, 3.14159, 0
0.527021, -1.05301e-16, 0.607591, -5.32038e-17, 0.233695, 3.14159, 0
0.526978, -1.05287e-16, 0.607564, -5.32879e-17, 0.234065, 3.14159, 0
0.526935, -1.05275e-16, 0.607537, -5.33713e-17, 0.234432, 3.14159, 0
0.526892, -1.05266e-16, 0.607511, -5.34538e-17, 0.234794, 3.14159, 0
0.52685, -1.05253e-16, 0.607485, -5.35354e-17, 0.235153, 3.14159, 0
0.526808, -1.0525e-16, 0.607459, -5.36163e-17, 0.235509, 3.14159, 0
0.526767, -1.05241e-16, 0.607434, -5.36963e-17, 0.235861, 3.14159, 0
0.526726, -1.05237e-16, 0.607408, -5.37756e-17, 0.236209, 3.14159, 0
0.526685, -1.05229e-16, 0.607383, -5.3854e-17, 0.236554, 3.14159, 0
0.526645, -1.05219e-16, 0.607358, -5.39317e-17, 0.236896, 3.14159, 0
0.526606, -1.05212e-16, 0.607334, -5.40086e-17, 0.237234, 3.14159, 0
0.526566, -1.05204e-16, 0.60731, -5.40847e-17, 0.237568, 3.14159, 0
0.526527, -1.05202e-16, 0.607286, -5.41601e-17, 0.2379, 3.14159, 0
0.526489, -1.05197e-16, 0.607262, -5.42347e-17, 0.238228, 3.14159, 0
0.526451, -1.05183e-16, 0.607238, -5.43086e-17, 0.238552, 3.14159, 0
0.526413, -1.05177e-16, 0.607215, -5.43817e-17, 0.238874, 3.14159, 0
0.526375, -1.0517e-16, 0.607192, -5.44541e-17, 0.239192, 3.14159, 0
0.526338, -1.05162e-16, 0.607169, -5.45257e-17, 0.239507, 3.14159, 0
0.526302, -1.05151e-16, 0.607146, -5.45967e-17, 0.239819, 3.14159, 0
0.526266, -1.05142e-16, 0.607124, -5.46669e-17, 0.240128, 3.14159, 0
0.52623, -1.05134e-16, 0.607101, -5.47365e-17, 0.240434, 3.14159, 0
