x, y, z, alpha, beta, gamma, zero
-0.00240767, -0.0509592, 0.60943, -1.85689, 0.0339594, 2.48566, 0
-0.00286298, -0.0510029, 0.60942, -1.8584, 0.0339933, 2.48512, 0
-0.00331374, -0.0510463, 0.60941, -1.85991, 0.0340269, 2.4846, 0
-0.00375999, -0.0510892, 0.609401, -1.86139, 0.0340602, 2.48407, 0
-0.00420178, -0.0511317, 0.609391, -1.86287, 0.0340931, 2.48355, 0
-0.00463915, -0.0511737, 0.609381, -1.86432, 0.0341257, 2.48304, 0
-0.00507215, -0.0512154, 0.609372, -1.86577, 0.0341579, 2.48253, 0
-0.00550082, -0.0512566, 0.609362, -1.86719, 0.0341898, 2.48203, 0
-0.0059252, -0.0512975, 0.609353, -1.86861, 0.0342214, 2.48153, 0
-0.00634533, -0.0513379, 0.609344, -1.87001, 0.0342527, 2.48104, 0
-0.00676127, -0.0513779, 0.609335, -1.87139, 0.0342836, 2.48055, 0
-0.00717305, -0.0514176, 0.609325, -1.87277, 0.0343143, 2.48007, 0
-0.00758071, -0.0514568, 0.609316, -1.87412, 0.0343446, 2.47959, 0
-0.00798429, -0.0514957, 0.609308, -1.87547, 0.0343747, 2.47912, 0
-0.00838384, -0.0515342, 0.609299, -1.8768, 0.0344044, 2.47865, 0
-0.00877939, -0.0515723, 0.60929, -1.87812, 0.0344338, 2.47819, 0
-0.00917099, -0.05161, 0.609282, -1.87942, 0.0344629, 2.47773, 0
-0.00955867, -0.0516473, 0.609273, -1.88072, 0.0344918, 2.47727, 0
-0.00994247, -0.0516843, 0.609265, -1.88199, 0.0345203, 2.47682, 0
-0.0103224, -0.0517209, 0.609256, -1.88326, 0.0345486, 2.47638, 0
-0.0106986, -0.0517572, 0.609248, -1.88451, 0.0345765, 2.47594, 0
-0.011071, -0.0517931, 0.60924, -1.88575, 0.0346042, 2.4755, 0
-0.0114397, -0.0518286, 0.609232, -1.88698, 0.0346316, 2.47507, 0
-0.0118047, -0.0518638, 0.609224, -1.8882, 0.0346588, 2.47464, 0
-0.012166, -0.0518987, 0.609216, -1.8894, 0.0346856, 2.47422, 0
-0.0125238, -0.0519332, 0.609208, -1.8906, 0.0347122, 2.4738, 0
-0.0128779, -0.0519673, 0.6092, -1.89178, 0.0347385, 2.47338, 0
-0.0132285, -0.0520011, 0.609192, -1.89294, 0.0347646, 2.47297, 0
-0.0135756, -0.0520346, 0.609185, -1.8941, 0.0347904, 2.47256, 0
-0.0139193, -0.0520678, 0.609177, -1.89525, 0.0348159, 2.47216, 0
